index,jersey_number,player.id,player.name,position.id,position.name,match_id
1,1,15709,Megan Walsh,1,Goalkeeper,19742
1,2,15708,Amy Goddard,2,Right Back,19742
1,6,15717,Hannah Short,3,Right Center Back,19742
1,5,15712,Nicola Cousins,5,Left Center Back,19742
1,3,15710,Megan Alexander,6,Left Back,19742
1,9,15714,Anne-Marie Heatherson,12,Right Midfield,19742
1,16,15707,Georgia Evans,13,Right Center Midfield,19742
1,12,15715,Ellie Mason,15,Left Center Midfield,19742
1,10,15711,Amber Gaylor,16,Left Midfield,19742
1,7,15718,Olivia Fergusson,22,Right Center Forward,19742
1,29,19775,Shannon Albuery,24,Left Center Forward,19742
